match_id,datetime,tournament,team1,team2,winner,score1_match,score2_match,t1_series_score,t2_series_score,games_played,bestOf,tier,total_maps,margin,is_bo1,swept,bo5_sweep
10064152,2023-10-10T16:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,The Chosen Few,Aurora Gaming,Aurora Gaming,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064155,2023-10-10T21:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Movistar Riders,Team Spirit,Team Spirit,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064154,2023-10-10T21:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Aurora Gaming,Looking4Org,Looking4Org,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064190,2023-10-10T22:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,Wildcard Gaming,Forsaken,Forsaken,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064191,2023-10-10T22:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,Evil Geniuses,Nouns Esports,Nouns Esports,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064192,2023-10-11T03:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Forsaken,Nouns Esports,Nouns Esports,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064193,2023-10-11T03:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Wildcard Gaming,Evil Geniuses,Evil Geniuses,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064198,2023-10-11T16:00:00Z,Buster CS2 League,GUN5,CYBERSHOKE Esports,GUN5,2,1,2,1,3,3,tier3,3,1,FALSE,FALSE,FALSE
10064201,2023-10-11T16:00:00Z,Buster CS2 League,ARCRED,Nemiga Gaming,ARCRED,2,0,2,0,2,3,tier3,2,2,FALSE,TRUE,FALSE
10064156,2023-10-11T16:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,Movistar Riders,Looking4Org,Looking4Org,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064200,2023-10-11T20:00:00Z,Buster CS2 League,HUEC,FatherSAndSons,HUEC,2,0,2,0,2,3,tier3,2,2,FALSE,TRUE,FALSE
10064199,2023-10-11T20:00:00Z,Buster CS2 League,Insilio,Forward Gaming,Forward Gaming,0,2,0,2,2,3,tier3,2,2,FALSE,TRUE,FALSE
10064157,2023-10-11T21:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Team Spirit,Looking4Org,Looking4Org,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064194,2023-10-11T22:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,Forsaken,Evil Geniuses,Evil Geniuses,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064195,2023-10-12T03:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Nouns Esports,Evil Geniuses,Nouns Esports,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064206,2023-10-12T16:00:00Z,Buster CS2 League,FatherSAndSons,Nemiga Gaming,FatherSAndSons,2,1,2,1,3,3,tier3,3,1,FALSE,FALSE,FALSE
10064202,2023-10-12T16:00:00Z,Buster CS2 League,GUN5,Forward Gaming,GUN5,2,1,2,1,3,3,tier3,3,1,FALSE,FALSE,FALSE
10064205,2023-10-12T19:00:00Z,Buster CS2 League,ARCRED,HUEC,ARCRED,2,0,2,0,2,3,tier3,2,2,FALSE,TRUE,FALSE
10064203,2023-10-12T19:00:00Z,Buster CS2 League,CYBERSHOKE Esports,Insilio,Insilio,0,2,0,2,2,3,tier3,2,2,FALSE,TRUE,FALSE
10064159,2023-10-12T20:00:00Z,ESL Challenger League Season 46 — Europe,FORZE,Team Space,Team Space,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064160,2023-10-12T20:00:00Z,ESL Challenger League Season 46 — Europe,Team Falcons,PARIVISION,PARIVISION,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064166,2023-10-12T20:00:00Z,ESL Challenger League Season 46 — Europe,Sprout,The Prodigies,The Prodigies,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064204,2023-10-13T16:00:00Z,Buster CS2 League,Forward Gaming,Insilio,Insilio,0,2,0,2,2,3,tier3,2,2,FALSE,TRUE,FALSE
10064207,2023-10-13T19:00:00Z,Buster CS2 League,FatherSAndSons,HUEC,FatherSAndSons,2,0,2,0,2,3,tier3,2,2,FALSE,TRUE,FALSE
10064179,2023-10-13T20:00:00Z,ESL Challenger League Season 46 — Europe,Betera,IKLA,Betera,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064171,2023-10-13T20:00:00Z,ESL Challenger League Season 46 — Europe,SAW,Looking4Org,Looking4Org,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064172,2023-10-13T20:00:00Z,ESL Challenger League Season 46 — Europe,EYEBALLERS,RUBIK,EYEBALLERS,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064177,2023-10-13T20:00:00Z,ESL Challenger League Season 46 — Europe,1win Team,Movistar Riders,1win Team,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064262,2023-10-14T17:00:00Z,Buster CS2 League,Insilio,ARCRED,ARCRED,1,2,1,2,3,3,tier3,3,1,FALSE,FALSE,FALSE
10064261,2023-10-14T21:00:00Z,Buster CS2 League,GUN5,FatherSAndSons,FatherSAndSons,0,2,0,2,2,3,tier3,2,2,FALSE,TRUE,FALSE
10064264,2023-10-15T20:00:00Z,Buster CS2 League,FatherSAndSons,ARCRED,FatherSAndSons,2,0,2,0,2,NA,tier3,2,2,FALSE,TRUE,FALSE
10064066,2023-10-16T04:30:00Z,IEM Sydney 2023,Natus Vincere,Apeks,Natus Vincere,1,0,1,0,1,1,tier1,1,1,TRUE,FALSE,FALSE
10064067,2023-10-16T04:30:00Z,IEM Sydney 2023,VERTEX,MOUZ,MOUZ,0,1,0,1,1,1,tier1,1,1,TRUE,FALSE,FALSE
10064064,2023-10-16T05:30:00Z,IEM Sydney 2023,Team Vitality,BetBoom Team,BetBoom Team,0,1,0,1,1,1,tier1,1,1,TRUE,FALSE,FALSE
10064065,2023-10-16T05:40:00Z,IEM Sydney 2023,FaZe Clan,GamerLegion,GamerLegion,0,1,0,1,1,1,tier1,1,1,TRUE,FALSE,FALSE
10064068,2023-10-16T06:45:00Z,IEM Sydney 2023,ENCE,Lynn Vision Gaming,ENCE,1,0,1,0,1,1,tier1,1,1,TRUE,FALSE,FALSE
10064069,2023-10-16T07:15:00Z,IEM Sydney 2023,Cloud9,Fnatic,Fnatic,0,1,0,1,1,1,tier1,1,1,TRUE,FALSE,FALSE
10064071,2023-10-16T08:00:00Z,IEM Sydney 2023,Grayhound Gaming,G2 Esports,G2 Esports,0,1,0,1,1,1,tier1,1,1,TRUE,FALSE,FALSE
10064070,2023-10-16T08:30:00Z,IEM Sydney 2023,Monte,Complexity,Complexity,0,1,0,1,1,1,tier1,1,1,TRUE,FALSE,FALSE
10064282,2023-10-16T09:30:00Z,IEM Sydney 2023,Apeks,VERTEX,Apeks,2,0,2,0,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064281,2023-10-16T10:15:00Z,IEM Sydney 2023,Natus Vincere,MOUZ,MOUZ,1,2,1,2,3,3,tier1,3,1,FALSE,FALSE,FALSE
10064283,2023-10-16T11:30:00Z,IEM Sydney 2023,BetBoom Team,GamerLegion,BetBoom Team,2,0,2,0,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064284,2023-10-16T13:30:00Z,IEM Sydney 2023,Team Vitality,FaZe Clan,FaZe Clan,1,2,1,2,3,3,tier1,3,1,FALSE,FALSE,FALSE
10064293,2023-10-17T05:30:00Z,IEM Sydney 2023,Monte,Grayhound Gaming,Monte,2,0,2,0,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064290,2023-10-17T05:30:00Z,IEM Sydney 2023,Complexity,G2 Esports,G2 Esports,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064292,2023-10-17T08:30:00Z,IEM Sydney 2023,Lynn Vision Gaming,Cloud9,Cloud9,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064289,2023-10-17T08:30:00Z,IEM Sydney 2023,ENCE,Fnatic,ENCE,2,1,2,1,3,3,tier1,3,1,FALSE,FALSE,FALSE
10064287,2023-10-17T11:30:00Z,IEM Sydney 2023,GamerLegion,Apeks,GamerLegion,2,0,2,0,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064286,2023-10-17T12:05:00Z,IEM Sydney 2023,Natus Vincere,FaZe Clan,FaZe Clan,1,2,1,2,3,3,tier1,3,1,FALSE,FALSE,FALSE
10064168,2023-10-17T20:00:00Z,ESL Challenger League Season 46 — Europe,Aurora Gaming,The Prodigies,The Prodigies,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064163,2023-10-17T20:00:00Z,ESL Challenger League Season 46 — Europe,Team Space,B8 Esports,B8 Esports,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064162,2023-10-17T20:00:00Z,ESL Challenger League Season 46 — Europe,FORZE,PARIVISION,FORZE,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064169,2023-10-17T20:00:00Z,ESL Challenger League Season 46 — Europe,Sinners Esports,Sangal Esports,Sinners Esports,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064294,2023-10-18T05:30:00Z,IEM Sydney 2023,Complexity,Cloud9,Complexity,2,1,2,1,3,3,tier1,3,1,FALSE,FALSE,FALSE
10064295,2023-10-18T05:30:00Z,IEM Sydney 2023,Fnatic,Monte,Monte,1,2,1,2,3,3,tier1,3,1,FALSE,FALSE,FALSE
10064288,2023-10-18T08:30:00Z,IEM Sydney 2023,FaZe Clan,GamerLegion,FaZe Clan,2,1,2,1,3,3,tier1,3,1,FALSE,FALSE,FALSE
10064285,2023-10-18T08:30:00Z,IEM Sydney 2023,BetBoom Team,MOUZ,MOUZ,1,2,1,2,3,3,tier1,3,1,FALSE,FALSE,FALSE
10064296,2023-10-18T11:45:00Z,IEM Sydney 2023,Complexity,Monte,Complexity,2,0,2,0,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064291,2023-10-18T12:00:00Z,IEM Sydney 2023,ENCE,G2 Esports,G2 Esports,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064174,2023-10-18T20:00:00Z,ESL Challenger League Season 46 — Europe,SAW,RUBIK,SAW,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064180,2023-10-18T20:00:00Z,ESL Challenger League Season 46 — Europe,1win Team,IKLA,1win Team,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064178,2023-10-18T20:00:00Z,ESL Challenger League Season 46 — Europe,9INE,Betera,9INE,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064175,2023-10-18T20:00:00Z,ESL Challenger League Season 46 — Europe,Looking4Org,Pompa Team,Looking4Org,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064173,2023-10-18T20:00:00Z,ESL Challenger League Season 46 — Europe,Team Spirit,EYEBALLERS,Team Spirit,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064181,2023-10-18T20:00:00Z,ESL Challenger League Season 46 — Europe,Movistar Riders,ORKS,ORKS,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064165,2023-10-19T18:00:00Z,ESL Challenger League Season 46 — Europe,Aurora Gaming,Sinners Esports,Sinners Esports,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064170,2023-10-19T20:00:00Z,ESL Challenger League Season 46 — Europe,Team Spirit,Pompa Team,Team Spirit,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064176,2023-10-19T20:00:00Z,ESL Challenger League Season 46 — Europe,9INE,ORKS,9INE,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064196,2023-10-19T21:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,9z Team,RED Canids,RED Canids,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064197,2023-10-19T21:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,Sharks Esports,MIBR,Sharks Esports,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064312,2023-10-20T02:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,9z Team,MIBR,MIBR,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064302,2023-10-20T08:30:00Z,IEM Sydney 2023,BetBoom Team,Complexity,Complexity,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064301,2023-10-20T11:30:00Z,IEM Sydney 2023,ENCE,FaZe Clan,FaZe Clan,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064328,2023-10-20T17:00:00Z,ESL Challenger League Season 46 — Europe,Team Spirit,Looking4Org,Team Spirit,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064313,2023-10-20T20:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,RED Canids,Sharks Esports,Sharks Esports,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064314,2023-10-20T21:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,RED Canids,MIBR,MIBR,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064315,2023-10-21T02:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Sharks Esports,MIBR,MIBR,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064304,2023-10-21T08:30:00Z,IEM Sydney 2023,G2 Esports,Complexity,Complexity,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064303,2023-10-21T11:30:00Z,IEM Sydney 2023,MOUZ,FaZe Clan,FaZe Clan,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064386,2023-10-22T08:30:00Z,IEM Sydney 2023,Австралия,Великобритания,Австралия,1,0,1,0,1,1,tier1,1,1,TRUE,FALSE,FALSE
10064305,2023-10-22T10:30:00Z,IEM Sydney 2023,FaZe Clan,Complexity,FaZe Clan,2,1,2,1,3,3,tier1,3,1,FALSE,FALSE,FALSE
10064343,2023-10-22T11:00:00Z,CCT North Europe Series #8,Bad News Eagles,Team EndPoint,Team EndPoint,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064347,2023-10-22T14:00:00Z,CCT North Europe Series #8,00Nation,Pompa Team,Pompa Team,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064340,2023-10-22T17:00:00Z,CCT North Europe Series #8,BIG,Aurora Young Blood,BIG,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064344,2023-10-22T20:00:00Z,CCT North Europe Series #8,Team Spirit,Permitta Esports,Team Spirit,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064345,2023-10-23T11:00:00Z,CCT North Europe Series #8,Into The Breach,ALTERNATE aTTaX,Into The Breach,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064346,2023-10-23T14:00:00Z,CCT North Europe Series #8,9INE,Team Falcons,9INE,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064342,2023-10-23T17:00:00Z,CCT North Europe Series #8,OG,Anonymo Esports,Anonymo Esports,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064341,2023-10-23T20:00:00Z,CCT North Europe Series #8,Sinners Esports,Sprout,Sprout,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064398,2023-10-23T21:30:00Z,ESL Challenger Atlanta 2023. Qualifiers,RED Canids,Imperial Esports,Imperial Esports,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064397,2023-10-23T21:30:00Z,ESL Challenger Atlanta 2023. Qualifiers,BESTIA,ODDIK,ODDIK,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064407,2023-10-24T02:00:00Z,ESL Challenger Atlanta 2023. Qualifiers,ODDIK,Imperial Esports,Imperial Esports,1,2,1,2,3,3,tier1,3,1,FALSE,FALSE,FALSE
10064408,2023-10-24T02:00:00Z,ESL Challenger Atlanta 2023. Qualifiers,BESTIA,RED Canids,BESTIA,2,0,2,0,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064387,2023-10-24T11:00:00Z,CCT North Europe Series #8,Anonymo Esports,Team EndPoint,Anonymo Esports,2,0,2,0,2,NA,tier2,2,2,FALSE,TRUE,FALSE
10064400,2023-10-24T12:00:00Z,CCT East Europe Series #3,ALTERNATE aTTaX,ECSTATIC,ECSTATIC,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064390,2023-10-24T14:00:00Z,CCT North Europe Series #8,Team Spirit,Into The Breach,Team Spirit,2,0,2,0,2,NA,tier2,2,2,FALSE,TRUE,FALSE
10064403,2023-10-24T15:25:00Z,CCT East Europe Series #3,BIG,9Pandas,9Pandas,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064388,2023-10-24T17:00:00Z,CCT North Europe Series #8,9INE,Pompa Team,9INE,2,1,2,1,3,NA,tier2,3,1,FALSE,FALSE,FALSE
10064399,2023-10-24T19:05:00Z,CCT East Europe Series #3,Virtus.pro,Metizport,Virtus.pro,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064389,2023-10-24T19:40:00Z,CCT North Europe Series #8,BIG,Sprout,BIG,2,0,2,0,2,NA,tier2,2,2,FALSE,TRUE,FALSE
10064324,2023-10-24T20:00:00Z,ESL Challenger League Season 46 — Europe,Sangal Esports,The Prodigies,The Prodigies,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064318,2023-10-24T20:00:00Z,ESL Challenger League Season 46 — Europe,B8 Esports,PARIVISION,PARIVISION,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064317,2023-10-24T20:00:00Z,ESL Challenger League Season 46 — Europe,FORZE,Team Falcons,FORZE,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064323,2023-10-24T20:30:00Z,ESL Challenger League Season 46 — Europe,Aurora Gaming,Sprout,Aurora Gaming,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064423,2023-10-24T21:30:00Z,ESL Challenger Atlanta 2023. Qualifiers,ODDIK,BESTIA,BESTIA,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064405,2023-10-24T21:30:00Z,CCT East Europe Series #3,1win Team,Team Sampi,1win Team,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064422,2023-10-25T02:00:00Z,ESL Challenger Atlanta 2023. Qualifiers,Imperial Esports,BESTIA,BESTIA,0,2,0,2,2,3,tier1,2,2,FALSE,TRUE,FALSE
10064406,2023-10-25T12:00:00Z,CCT East Europe Series #3,Bad News Eagles,00Nation,Bad News Eagles,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064494,2023-10-25T12:00:00Z,CCT North Europe Series #8,Team Spirit,9INE,Team Spirit,2,0,2,0,2,NA,tier2,2,2,FALSE,TRUE,FALSE
10064452,2023-10-25T14:00:00Z,CCT North Europe Series #8,BIG,Anonymo Esports,BIG,2,0,2,0,2,NA,tier2,2,2,FALSE,TRUE,FALSE
10064164,2023-10-25T14:00:00Z,ESL Challenger League Season 46 — Europe,Apeks,Sangal Esports,Apeks,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064401,2023-10-25T15:00:00Z,CCT East Europe Series #3,BetBoom Team,Team Falcons,Team Falcons,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064377,2023-10-25T16:00:00Z,Roobet Cup 2023,Movistar Riders,9z Team,Movistar Riders,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064374,2023-10-25T16:00:00Z,Roobet Cup 2023,Heroic,Aurora Gaming,Heroic,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064497,2023-10-25T17:00:00Z,CCT North Europe Series #8,BIG,Team Spirit,BIG,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
580027,2023-10-25T18:00:00Z,CCT East Europe Series #3,Preasy Esport,FORZE,Preasy Esport,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064375,2023-10-25T19:40:00Z,Roobet Cup 2023,Eternal Fire,FURIA Esports,FURIA Esports,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064329,2023-10-25T20:00:00Z,ESL Challenger League Season 46 — Europe,SAW,EYEBALLERS,EYEBALLERS,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
557633,2023-10-25T20:00:00Z,ESL Challenger League Season 46 — Europe,Pompa Team,RUBIK,RUBIK,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064334,2023-10-25T20:00:00Z,ESL Challenger League Season 46 — Europe,9INE,Movistar Riders,Movistar Riders,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064378,2023-10-25T20:00:00Z,Roobet Cup 2023,Virtus.pro,Team Spirit,Virtus.pro,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064335,2023-10-25T20:00:00Z,ESL Challenger League Season 46 — Europe,1win Team,Betera,1win Team,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
557626,2023-10-25T20:30:00Z,ESL Challenger League Season 46 — Europe,ORKS,IKLA,IKLA,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064402,2023-10-25T21:00:00Z,CCT East Europe Series #3,Looking4Org,MOUZ NXT,Looking4Org,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
487656,2023-10-26T12:00:00Z,ESL Challenger League Season 46 — Europe,Monte,B8 Esports,Monte,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
588338,2023-10-26T12:00:00Z,CCT East Europe Series #3,1win Team,Bad News Eagles,1win Team,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
589226,2023-10-26T15:00:00Z,CCT East Europe Series #3,9Pandas,Preasy Esport,Preasy Esport,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
566815,2023-10-26T16:00:00Z,Roobet Cup 2023,Astralis,9INE,9INE,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
566813,2023-10-26T16:00:00Z,Roobet Cup 2023,Monte,OG,Monte,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
589725,2023-10-26T18:00:00Z,CCT East Europe Series #3,Team Falcons,Looking4Org,Looking4Org,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
566814,2023-10-26T19:00:00Z,Roobet Cup 2023,BIG,Apeks,BIG,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
566812,2023-10-26T19:00:00Z,Roobet Cup 2023,Fnatic,Ninjas in Pyjamas,Ninjas in Pyjamas,1,2,1,2,3,3,tier2,3,1,FALSE,FALSE,FALSE
