team,streak_length,streak_start,streak_end
Virtus.pro,5,2024-01-20 19:05:00+01:00,2024-01-31 22:00:00+01:00
500,5,2025-02-05 20:30:00+01:00,2025-02-08 21:30:00+01:00
Team Vitality,5,2024-04-23 19:45:00+02:00,2024-05-11 19:15:00+02:00
CYBERSHOKE Esports,5,2024-08-06 20:00:00+02:00,2024-08-15 00:15:00+02:00
PARIVISION,5,2025-08-28 22:00:00+02:00,2025-09-09 13:30:00+02:00
Казахстан,5,2024-11-14 19:00:00+01:00,2024-11-15 19:45:00+01:00
G2 Esports,5,2024-05-29 05:10:00+02:00,2024-06-02 23:00:00+02:00
AMKAL Esports,5,2024-05-02 23:15:00+02:00,2024-05-18 22:15:00+02:00
TYLOO,5,2025-07-15 21:00:00+02:00,2025-07-20 18:00:00+02:00
FUT Esports,5,2025-09-21 13:00:00+02:00,2025-10-14 12:45:00+02:00
Gentle Mates,5,2026-01-22 17:00:00+01:00,2026-01-24 00:05:00+01:00
9INE,5,2023-10-06 22:00:00+02:00,2023-10-24 19:00:00+02:00
FlyQuest,5,2026-01-18 18:10:00+01:00,2026-06-02 15:30:00+02:00
Troublemakers,5,2024-01-20 12:00:00+01:00,2024-01-21 20:00:00+01:00
Team CM,5,2024-12-27 20:35:00+01:00,2024-12-28 18:00:00+01:00
TDK,5,2026-02-20 13:00:00+01:00,2026-02-27 15:00:00+01:00
ECSTATIC,5,2024-12-09 14:30:00+01:00,2024-12-15 14:30:00+01:00
Sangal Esports,5,2024-10-15 22:00:00+02:00,2024-10-17 22:00:00+02:00
Fnatic,5,2024-08-14 19:30:00+02:00,2024-08-15 23:40:00+02:00
The Mongolz,5,2024-01-19 12:30:00+01:00,2024-01-26 17:30:00+01:00
Team Falcons,5,2026-06-13 17:15:00+02:00,2026-06-21 20:00:00+02:00
Ninjas in Pyjamas,5,2024-03-27 21:00:00+01:00,2024-04-02 22:45:00+02:00
BetBoom Team,5,2026-06-06 23:30:00+02:00,2026-06-12 20:10:00+02:00
Sinners Esports,5,2024-09-09 19:00:00+02:00,2024-09-15 21:00:00+02:00
VP.Prodigy,5,2024-05-22 23:25:00+02:00,2024-06-01 20:15:00+02:00
Sharks Esports,5,2026-01-15 02:00:00+01:00,2026-05-27 21:45:00+02:00
Gentle Mates,5,2026-05-27 19:00:00+02:00,2026-06-18 16:00:00+02:00
Team Spirit,5,2024-06-13 01:00:00+02:00,2024-07-17 23:00:00+02:00
The Mongolz,5,2025-09-14 13:00:00+02:00,2025-09-20 17:00:00+02:00
Team Spirit,5,2024-08-28 14:00:00+02:00,2024-09-04 16:30:00+02:00
BCGame,5,2025-09-09 22:00:00+02:00,2025-09-20 13:00:00+02:00
Eternal Fire,5,2024-05-16 17:30:00+02:00,2024-05-23 18:30:00+02:00
Team Aunkere,5,2025-04-29 16:00:00+02:00,2025-05-01 18:30:00+02:00
HOTU,5,2024-06-27 08:45:00+02:00,2024-08-15 21:00:00+02:00
TEAM NEXT LEVEL,5,2025-07-14 20:00:00+02:00,2025-07-17 20:45:00+02:00
B8 Esports,5,2024-05-21 23:00:00+02:00,2024-05-25 23:50:00+02:00
Natus Vincere,5,2024-07-17 19:45:00+02:00,2024-07-31 20:45:00+02:00
Heroic,5,2024-03-13 18:30:00+01:00,2024-03-21 18:25:00+01:00
INOX Division,5,2026-06-09 13:00:00+02:00,2026-06-19 16:00:00+02:00
Team 3DMAX,5,2024-03-28 18:00:00+01:00,2024-04-09 23:00:00+02:00
B8 Esports,5,2025-11-25 00:05:00+01:00,2025-11-30 00:25:00+01:00
EYEBALLERS,5,2023-12-02 18:00:00+01:00,2023-12-06 22:00:00+01:00
G2 Esports,5,2026-03-29 19:45:00+02:00,2026-03-30 16:30:00+02:00
Украина,5,2024-07-06 23:00:00+02:00,2024-07-10 23:00:00+02:00
Alliance,5,2025-08-17 13:00:00+02:00,2025-08-22 19:30:00+02:00
Sinners Esports,5,2025-08-09 16:00:00+02:00,2025-08-14 16:00:00+02:00
BIG,5,2023-10-24 21:40:00+02:00,2023-10-28 18:00:00+02:00
Sashi Esport,5,2024-04-18 01:00:00+02:00,2024-04-19 18:30:00+02:00
FAVBET Team,5,2024-10-06 17:30:00+02:00,2024-10-13 18:00:00+02:00
K27,5,2026-02-03 13:00:00+01:00,2026-02-10 18:15:00+01:00
BESTIA,5,2024-07-20 02:00:00+02:00,2024-07-30 04:00:00+02:00
Alliance,5,2026-02-17 13:00:00+01:00,2026-02-25 13:00:00+01:00
ENCE,5,2025-04-02 20:30:00+02:00,2025-04-14 13:00:00+02:00
FURIA Esports,5,2026-02-01 20:15:00+01:00,2026-02-07 18:45:00+01:00
Венгрия,5,2024-07-06 15:00:00+02:00,2024-07-07 17:00:00+02:00
Virtus.pro,5,2025-06-07 20:45:00+02:00,2025-06-13 00:30:00+02:00
FaZe Clan,5,2024-01-25 17:10:00+01:00,2024-02-05 00:00:00+01:00
Magic,5,2026-02-01 16:30:00+01:00,2026-02-06 21:45:00+01:00
PARIVISION,5,2024-03-06 20:00:00+01:00,2024-04-01 21:00:00+02:00
Metizport,5,2024-02-10 21:00:00+01:00,2024-02-29 18:00:00+01:00
Nexus Gaming,5,2025-08-13 22:00:00+02:00,2025-08-17 16:00:00+02:00
FUT Esports,5,2025-12-05 16:00:00+01:00,2026-01-13 15:00:00+01:00
TSM,5,2024-08-22 20:00:00+02:00,2024-08-27 17:30:00+02:00
TYLOO,5,2025-04-17 14:00:00+02:00,2025-05-16 16:00:00+02:00
Natus Vincere,5,2024-08-04 19:30:00+02:00,2024-08-17 22:00:00+02:00
Wild Lotus,5,2025-03-24 19:00:00+01:00,2025-03-27 19:00:00+01:00
ECSTATIC,5,2024-09-21 18:30:00+02:00,2024-09-26 23:00:00+02:00
Monte,5,2023-10-26 14:00:00+02:00,2023-10-28 18:00:00+02:00
Cloud9,5,2024-08-29 20:30:00+02:00,2024-09-07 17:30:00+02:00
Monte,5,2023-10-29 22:00:00+01:00,2023-11-01 18:00:00+01:00
BESTIA,5,2023-10-24 04:00:00+02:00,2023-11-25 02:30:00+01:00
m0NESY Team,5,2025-01-05 15:30:00+01:00,2025-10-15 17:05:00+02:00
Словакия,5,2024-07-07 15:00:00+02:00,2024-07-14 23:00:00+02:00
Sangal Esports,5,2024-05-18 17:00:00+02:00,2024-05-22 20:00:00+02:00
Team Falcons,5,2025-10-04 16:00:00+02:00,2025-10-11 18:45:00+02:00
FlyQuest,5,2024-11-12 09:00:00+01:00,2024-11-30 12:55:00+01:00
BetBoom Team,5,2025-10-09 22:45:00+02:00,2025-10-12 18:00:00+02:00
1win Team,5,2025-10-02 19:00:00+02:00,2025-10-11 13:00:00+02:00
K27,5,2026-03-12 22:15:00+01:00,2026-04-02 13:35:00+02:00
500,5,2025-02-26 14:00:00+01:00,2025-03-06 23:15:00+01:00
illwill,5,2026-01-30 13:00:00+01:00,2026-02-05 19:00:00+01:00
Ninjas in Pyjamas,5,2025-03-30 16:00:00+02:00,2025-05-10 16:00:00+02:00
Aurora Gaming,5,2025-10-30 16:20:00+01:00,2025-11-29 18:05:00+01:00
Sinners Esports,5,2026-03-25 16:00:00+01:00,2026-03-29 14:00:00+02:00
Fnatic,5,2024-07-20 14:00:00+02:00,2024-07-27 20:10:00+02:00
BET-M 33,5,2026-02-08 21:00:00+01:00,2026-02-11 20:00:00+01:00
Alliance,5,2025-11-07 15:00:00+01:00,2025-11-07 20:20:00+01:00
Partizan Esports,5,2025-05-26 22:00:00+02:00,2025-06-01 15:00:00+02:00
1win Team,5,2026-01-26 16:00:00+01:00,2026-01-29 16:00:00+01:00
Lynn Vision Gaming,5,2024-01-19 09:00:00+01:00,2024-02-26 11:05:00+01:00
FURIA Esports,5,2025-06-08 20:55:00+02:00,2025-06-13 21:55:00+02:00
G2 Esports,5,2025-04-06 14:00:00+02:00,2025-04-12 23:00:00+02:00
Ninjas in Pyjamas,5,2025-11-25 02:15:00+01:00,2025-11-29 21:00:00+01:00
CYBERSHOKE Esports,5,2025-02-12 16:00:00+01:00,2025-02-18 15:00:00+01:00
Sinners Esports,5,2024-08-16 14:00:00+02:00,2024-08-17 21:00:00+02:00
Fnatic,5,2025-03-09 14:00:00+01:00,2025-03-10 17:00:00+01:00
FOKUS,5,2026-02-26 22:30:00+01:00,2026-04-04 12:00:00+02:00
MOUZ NXT,5,2024-06-04 13:00:00+02:00,2024-06-08 19:30:00+02:00
